raceId,year,round,circuitId,circuit_name,country,alt,max_pit_duration,mean_pit_duration,min_pit_duration,num_stops,avg_stop_lap,avg_grid_top3,driverId_first_place,driverId_second_place,driverId_third_place,constructorId_first_place,constructorId_second_place,constructorId_third_place,grid_first_place,grid_second_place,grid_third_place,qualifying_position_first_place,qualifying_position_second_place,qualifying_position_third_place,q1_first_place,q1_second_place,q1_third_place,points_first_place,points_second_place,points_third_place,laps_first_place,laps_second_place,laps_third_place,pit_stop_count_first_place,pit_stop_count_second_place,pit_stop_count_third_place,pit_mean_duration_first_place,pit_mean_duration_second_place,pit_mean_duration_third_place,pit_max_duration_first_place,pit_max_duration_second_place,pit_max_duration_third_place,pit_min_duration_first_place,pit_min_duration_second_place,pit_min_duration_third_place,pit_avg_lap_first_place,pit_avg_lap_second_place,pit_avg_lap_third_place
49,2007,14,13,Circuit de Spa-Francorchamps,Belgium,401,29.38,27.621499999999997,25.612,6,23.666666666666668,2.0,8.0,13.0,4.0,6.0,6.0,1.0,1,2,3,1,2,3,106.24199999999999,106.06,106.05799999999999,10.0,8.0,6.0,44,44,44,2.0,2.0,2.0,27.961,27.4075,27.496,29.203,28.612,29.38,26.719,26.203,25.612,23.0,24.0,24.0
50,2007,15,16,Fuji Speedway,Japan,583,40.0,36.053399999999996,32.031,5,24.8,5.0,1.0,5.0,8.0,1.0,4.0,6.0,1,11,3,1,11,3,85.489,87.223,85.39,10.0,8.0,6.0,67,67,67,1.0,1.0,3.0,38.286,35.845,35.37866666666667,38.286,35.845,40.0,38.286,35.845,32.031,28.0,39.0,19.0
51,2007,16,17,Shanghai International Circuit,China,5,29.267,28.228666666666665,27.465,6,24.0,3.0,8.0,4.0,13.0,6.0,1.0,6.0,2,4,3,2,4,3,95.69200000000001,95.809,95.792,10.0,8.0,6.0,56,56,56,2.0,2.0,2.0,28.0935,28.5385,28.054000000000002,28.543,29.267,28.643,27.644,27.81,27.465,25.5,25.0,21.5
52,2007,17,18,Autódromo José Carlos Pace,Brazil,785,29.333,27.84483333333333,26.166,6,36.333333333333336,2.6666666666666665,8.0,13.0,4.0,6.0,6.0,1.0,3,1,4,3,1,4,73.016,72.303,72.895,10.0,8.0,6.0,71,71,71,2.0,2.0,2.0,27.6645,28.1535,27.7165,29.163,29.333,28.964,26.166,26.974,26.469,37.0,35.0,37.0
53,2006,1,3,Bahrain International Circuit,Bahrain,7,29.638,27.368599999999997,26.22,5,27.8,9.0,4.0,30.0,8.0,4.0,6.0,1.0,4,1,22,4,1,22,92.43299999999999,93.31,91.685,10.0,8.0,6.0,57,57,57,2.0,2.0,1.0,26.411,27.191499999999998,29.638,26.602,27.374,29.638,26.22,27.009,29.638,29.0,25.5,30.0
54,2006,2,2,Sepang International Circuit,Malaysia,18,29.126,26.1405,24.441,6,30.166666666666668,3.3333333333333335,21.0,4.0,18.0,4.0,4.0,11.0,1,7,2,1,8,2,95.488,95.51400000000001,95.023,10.0,8.0,6.0,56,56,56,2.0,2.0,2.0,27.299500000000002,24.948,26.174,29.126,25.455,26.325,25.473,24.441,26.023,27.5,34.5,28.5
55,2006,3,1,Albert Park Grand Prix Circuit,Australia,10,29.926,21.27657142857143,10.164,7,26.428571428571427,4.333333333333333,4.0,8.0,23.0,4.0,1.0,7.0,3,4,6,3,4,6,88.569,87.193,88.007,10.0,8.0,6.0,57,57,57,2.0,2.0,3.0,21.9735,26.5625,17.288,23.013,29.926,20.878,20.934,23.199,10.164,27.0,27.5,25.333333333333332
56,2006,4,21,Autodromo Enzo e Dino Ferrari,Italy,37,26.041,24.513333333333332,23.31,6,32.5,4.333333333333333,30.0,4.0,31.0,6.0,4.0,1.0,1,5,7,1,5,7,84.598,83.536,84.96000000000001,10.0,8.0,6.0,62,62,62,2.0,2.0,2.0,24.719,24.6755,24.1455,25.502,26.041,24.292,23.936,23.31,23.999,31.0,33.0,33.5
57,2006,5,20,Nürburgring,Germany,578,25.225,24.5585,23.754,6,28.5,2.0,30.0,4.0,13.0,6.0,4.0,6.0,2,1,3,2,1,3,91.235,91.138,91.92099999999999,10.0,8.0,6.0,60,60,60,2.0,2.0,2.0,24.2675,24.7775,24.630499999999998,24.781,25.225,25.076,23.754,24.33,24.185,29.5,27.5,28.5
58,2006,6,4,Circuit de Barcelona-Catalunya,Spain,109,23.741,23.235166666666668,22.63,6,30.833333333333332,2.0,4.0,30.0,21.0,4.0,6.0,4.0,1,3,2,1,3,2,75.816,76.049,76.04599999999999,10.0,8.0,6.0,66,66,66,2.0,2.0,2.0,23.573999999999998,22.988500000000002,23.143,23.741,23.347,23.285,23.407,22.63,23.001,28.5,34.5,29.5
59,2006,7,6,Circuit de Monaco,Monaco,7,29.227,26.042,23.553,5,34.4,4.0,4.0,31.0,14.0,4.0,1.0,9.0,1,4,7,1,4,7,74.232,74.483,75.09,10.0,8.0,6.0,78,78,78,2.0,2.0,1.0,24.205,26.2865,29.227,24.857,26.513,29.227,23.553,26.06,29.227,36.5,35.0,29.0
60,2006,8,9,Silverstone Circuit,UK,153,24.124,22.920666666666666,21.708,6,31.0,2.0,4.0,30.0,8.0,4.0,6.0,1.0,1,3,2,1,3,2,81.018,82.096,81.648,10.0,8.0,6.0,60,60,60,2.0,2.0,2.0,22.493499999999997,22.722,23.5465,23.02,23.736,24.124,21.967,21.708,22.969,33.0,29.5,30.5
61,2006,9,7,Circuit Gilles Villeneuve,Canada,13,32.505,27.12166666666667,23.639,6,40.0,3.0,4.0,30.0,8.0,4.0,6.0,1.0,1,5,3,1,5,3,75.35,75.716,75.376,10.0,8.0,6.0,70,70,70,2.0,2.0,2.0,25.305,24.6725,31.387500000000003,26.036,25.706,32.505,24.574,23.639,30.27,36.5,44.5,39.0
62,2006,10,19,Indianapolis Motor Speedway,USA,223,24.283,23.217666666666663,21.784,6,41.166666666666664,2.0,30.0,13.0,21.0,6.0,6.0,4.0,1,2,3,1,2,3,71.588,71.088,72.287,10.0,8.0,6.0,73,73,73,2.0,2.0,2.0,23.592,23.502,22.558999999999997,24.283,24.272,23.334,22.901,22.732,21.784,41.5,41.0,41.0
63,2006,11,8,Circuit de Nevers Magny-Cours,France,228,23.021,20.597875,19.423,8,34.125,2.0,30.0,4.0,13.0,6.0,4.0,6.0,1,3,2,1,3,2,75.865,76.328,76.277,10.0,8.0,6.0,70,70,70,3.0,2.0,3.0,19.751666666666665,22.2165,20.365,20.146,23.021,20.764,19.423,21.412,20.127,37.0,29.5,34.333333333333336
64,2006,12,10,Hockenheimring,Germany,103,28.95,23.071571428571428,20.425,7,31.571428571428573,2.0,30.0,13.0,8.0,6.0,6.0,1.0,2,3,1,2,3,1,74.904,74.412,75.214,10.0,8.0,6.0,67,67,67,2.0,2.0,3.0,22.904,22.4695,23.584666666666667,22.934,22.584,28.95,22.874,22.355,20.425,32.5,31.5,31.0
65,2006,13,11,Hungaroring,Hungary,264,26.422,23.08,20.48,8,36.375,9.333333333333334,18.0,37.0,2.0,11.0,1.0,2.0,14,4,10,4,5,11,80.82,81.288,81.437,10.0,8.0,6.0,70,70,70,3.0,3.0,2.0,21.756666666666664,24.989,22.201500000000003,23.921,26.422,23.338,20.48,22.366,21.065,39.0,31.0,40.5
66,2006,14,5,Istanbul Park,Turkey,130,37.947,27.513333333333335,24.602,6,27.166666666666668,2.0,13.0,4.0,30.0,6.0,4.0,6.0,1,3,2,1,3,2,87.306,87.861,87.385,10.0,8.0,6.0,58,58,58,2.0,2.0,2.0,25.62,25.6455,31.274500000000003,26.149,25.944,37.947,25.091,25.347,24.602,26.5,26.5,28.5
67,2006,15,14,Autodromo Nazionale di Monza,Italy,162,28.176,26.208,24.616,6,28.666666666666668,3.0,30.0,8.0,9.0,6.0,1.0,2.0,2,1,6,2,1,6,81.711,81.994,82.437,10.0,8.0,6.0,53,53,53,2.0,2.0,2.0,26.927,26.3825,25.314500000000002,28.176,27.063,26.013,25.678,25.702,24.616,28.0,26.5,31.5
68,2006,16,17,Shanghai International Circuit,China,5,35.892,26.26516666666667,23.403,6,30.333333333333332,3.0,30.0,4.0,21.0,6.0,4.0,4.0,6,1,2,6,1,2,107.366,104.128,104.378,10.0,8.0,6.0,56,56,56,2.0,2.0,2.0,24.441499999999998,30.773000000000003,23.581,24.57,35.892,23.759,24.313,25.654,23.403,30.5,28.5,32.0
69,2006,17,22,Suzuka Circuit,Japan,45,23.037,22.58383333333333,21.824,6,24.166666666666668,4.0,4.0,13.0,21.0,4.0,6.0,4.0,5,1,6,5,1,6,90.976,90.112,91.696,10.0,8.0,6.0,53,53,53,2.0,2.0,2.0,22.366500000000002,22.747999999999998,22.637,22.909,23.037,23.008,21.824,22.459,22.266,25.0,24.0,23.5
70,2006,18,18,Autódromo José Carlos Pace,Brazil,785,25.969,24.95266666666667,24.101,6,38.5,6.333333333333333,13.0,4.0,18.0,6.0,4.0,11.0,1,4,14,1,4,14,70.643,71.791,72.08500000000001,10.0,8.0,6.0,71,71,71,2.0,2.0,2.0,25.1555,25.035,24.667499999999997,25.916,25.969,24.903,24.395,24.101,24.432,38.0,40.0,37.5
71,2005,1,1,Albert Park Grand Prix Circuit,Australia,10,21.921,20.486833333333333,18.751,6,33.833333333333336,8.333333333333334,21.0,22.0,4.0,4.0,6.0,4.0,1,11,13,1,11,13,93.17099999999999,105.481,107.708,10.0,8.0,6.0,57,57,57,2.0,2.0,2.0,20.555999999999997,20.5685,20.336,21.566,21.252,21.921,19.546,19.885,18.751,32.5,34.0,35.0
72,2005,2,2,Sepang International Circuit,Malaysia,18,29.233,27.005666666666666,25.412,6,31.0,4.333333333333333,4.0,15.0,2.0,4.0,7.0,3.0,1,2,10,1,2,10,92.582,92.672,93.464,10.0,8.0,6.0,56,56,56,2.0,2.0,2.0,26.287,26.295,28.435000000000002,26.864,27.178,29.233,25.71,25.412,27.637,30.5,31.5,31.0
73,2005,3,3,Bahrain International Circuit,Bahrain,7,27.362,26.472666666666665,25.645,6,31.833333333333332,4.333333333333333,4.0,15.0,8.0,4.0,7.0,1.0,1,3,9,1,3,9,89.848,89.993,90.594,10.0,8.0,6.0,57,57,57,2.0,2.0,2.0,26.451,26.5035,26.4635,26.993,27.362,27.189,25.909,25.645,25.738,30.5,31.5,33.5
74,2005,4,21,Autodromo Enzo e Dino Ferrari,Italy,37,25.787,24.468666666666667,22.17,6,35.5,7.333333333333333,4.0,30.0,25.0,4.0,6.0,1.0,2,13,7,2,14,7,79.889,80.26,80.632,10.0,8.0,6.0,62,62,62,2.0,2.0,2.0,24.439999999999998,23.8495,25.116500000000002,24.715,25.529,25.787,24.165,22.17,24.446,32.5,38.0,36.0
75,2005,5,4,Circuit de Barcelona-Catalunya,Spain,109,26.33,23.833,21.651,6,37.833333333333336,3.0,8.0,4.0,15.0,1.0,4.0,7.0,1,3,5,1,3,5,74.819,74.811,74.795,10.0,8.0,6.0,66,66,66,2.0,2.0,2.0,24.5425,22.966,23.990499999999997,24.824,23.952,26.33,24.261,21.98,21.651,37.0,38.0,38.5
76,2005,6,6,Circuit de Monaco,Monaco,7,27.617,25.026,22.489,5,41.4,3.3333333333333335,8.0,2.0,17.0,1.0,3.0,3.0,1,6,3,1,6,3,73.644,75.128,74.584,10.0,8.0,6.0,78,78,78,1.0,2.0,2.0,27.617,24.2895,24.467,27.617,26.09,25.703,27.617,22.489,23.231,42.0,41.0,41.5
77,2005,7,20,Nürburgring,Germany,578,26.478,23.867,21.88,8,31.875,4.666666666666667,4.0,2.0,22.0,4.0,3.0,6.0,6,1,7,6,1,7,91.056,90.081,91.249,10.0,8.0,6.0,59,59,59,2.0,3.0,3.0,24.608,23.62,23.62,26.478,24.911,25.585,22.738,22.073,21.88,35.0,31.0,30.666666666666668
78,2005,8,7,Circuit Gilles Villeneuve,Canada,13,28.805,26.47585714285714,23.405,7,34.857142857142854,9.666666666666666,8.0,30.0,22.0,1.0,6.0,6.0,7,2,20,7,2,20,75.923,75.475,76.5115,10.0,8.0,6.0,70,70,70,2.0,3.0,2.0,28.5215,24.885666666666665,26.8155,28.805,25.973,27.291,28.238,23.405,26.34,36.0,31.333333333333332,39.0
79,2005,9,19,Indianapolis Motor Speedway,USA,223,32.866,25.766666666666666,23.615,6,36.666666666666664,9.666666666666666,30.0,22.0,33.0,6.0,6.0,17.0,5,7,17,5,7,17,71.369,71.431,73.462,10.0,8.0,6.0,73,73,72,2.0,2.0,2.0,28.240499999999997,24.9555,24.104,32.866,25.855,24.137,23.615,24.056,24.071,38.5,36.5,35.0
80,2005,10,8,Circuit de Nevers Magny-Cours,France,228,22.745,20.464625,18.987,8,38.125,5.666666666666667,4.0,8.0,30.0,4.0,1.0,6.0,1,13,3,1,3,4,74.412,74.559,74.572,10.0,8.0,6.0,70,70,70,3.0,2.0,3.0,20.511333333333333,21.1185,19.982,21.305,22.745,20.452,18.987,19.492,19.631,39.666666666666664,41.5,34.333333333333336
81,2005,11,9,Silverstone Circuit,UK,153,24.627,22.512,20.367,6,34.833333333333336,5.333333333333333,31.0,4.0,8.0,1.0,4.0,1.0,3,1,12,4,1,2,80.382,79.905,79.932,10.0,8.0,6.0,60,60,60,2.0,2.0,2.0,22.821,22.497,22.218,23.824,24.627,23.284,21.818,20.367,21.152,33.0,36.0,35.5
82,2005,12,10,Hockenheimring,Germany,103,24.738,22.759500000000003,20.46,6,36.333333333333336,8.333333333333334,4.0,31.0,18.0,4.0,1.0,16.0,3,20,2,3,19,2,74.904,74.4175,74.759,10.0,8.0,6.0,67,67,67,2.0,2.0,2.0,23.0515,22.599,22.628,23.844,24.738,23.407,22.259,20.46,21.849,34.5,41.5,33.0
83,2005,13,11,Hungaroring,Hungary,264,22.596,20.955222222222222,19.27,9,34.22222222222222,3.3333333333333335,8.0,30.0,23.0,1.0,6.0,7.0,4,1,5,4,1,5,80.89099999999999,79.882,80.964,10.0,8.0,6.0,70,70,70,3.0,3.0,3.0,20.986,21.225666666666665,20.654,22.23,22.596,21.136,19.599,19.27,19.987,32.0,36.0,34.666666666666664
84,2005,14,5,Istanbul Park,Turkey,130,29.505,26.754499999999997,23.384,6,29.333333333333332,2.6666666666666665,8.0,4.0,31.0,1.0,4.0,1.0,1,3,4,1,3,4,86.797,87.05,87.352,10.0,8.0,6.0,58,58,58,2.0,2.0,2.0,25.4825,28.3855,26.3955,27.581,29.505,27.808,23.384,27.266,24.983,33.5,23.5,31.0
85,2005,15,14,Autodromo Nazionale di Monza,Italy,162,30.15,27.230500000000003,25.198,6,29.833333333333332,3.6666666666666665,31.0,4.0,21.0,1.0,4.0,4.0,1,2,8,2,3,9,81.054,81.319,82.068,10.0,8.0,6.0,53,53,53,2.0,2.0,2.0,26.053,29.475499999999997,26.163,26.908,30.15,26.401,25.198,28.801,25.925,30.0,29.0,30.5
86,2005,16,13,Circuit de Spa-Francorchamps,Belgium,401,52.506,37.814,31.518,7,20.714285714285715,4.666666666666667,8.0,4.0,18.0,1.0,4.0,16.0,2,4,8,2,5,9,106.44,106.75999999999999,107.97800000000001,10.0,8.0,6.0,44,44,44,2.0,2.0,3.0,34.836,34.9065,41.73766666666666,38.154,37.235,52.506,31.518,32.578,32.558,23.0,21.5,18.666666666666668
